"Id","Eventable type","Eventable","Event type","Title","Description","Date","Url"
"8511","Legislation","9610","Passed/Approved","Approved","","01/03/2008",""
"8510","Legislation","9609","Passed/Approved","Approved","","01/01/2017",""
"8509","Legislation","9608","Passed/Approved","Approved","","01/01/2011",""
"8508","Legislation","9607","Passed/Approved","Approved","","01/08/2018",""
"8507","Legislation","9606","Passed/Approved","Approved","","01/01/2018",""
"8506","Legislation","9605","Passed/Approved","Passed","","27/10/2014",""
"8505","Legislation","9604","Passed/Approved","Passed","","01/01/1992",""
"8504","Legislation","9603","Passed/Approved","Decree published","","05/06/2020",""
"8503","Legislation","8277","Amended","Amended","","17/07/2020",""
"8502","Legislation","9602","Passed/Approved","Approved","","01/12/2015",""
"8497","Legislation","9601","Passed/Approved","Approved","","01/01/2016",""
"8485","Legislation","9600","Passed/Approved","Approved","","19/01/2017",""
"8484","Legislation","9599","Passed/Approved","Approved","","01/01/1999",""
"8481","Legislation","9596","Passed/Approved","Approved","","01/01/2014",""
"8480","Legislation","9595","Passed/Approved","Approved","","01/01/2005",""
"8479","Legislation","9594","Passed/Approved","Approved","","01/12/2017",""
"8478","Legislation","9593","Passed/Approved","Approved","","01/01/2013",""
"8477","Legislation","9593","Passed/Approved","Approved","","01/01/2009",""
"8476","Legislation","9592","Passed/Approved","Approved","","01/01/2012",""
"8475","Legislation","9591","Passed/Approved","Passed","","01/01/2013",""
"8474","Legislation","9590","Passed/Approved","Passed","","01/01/1999",""
"8473","Legislation","9589","Passed/Approved","Approved","","01/01/2014",""
"8471","Legislation","9587","Passed/Approved","Passed","","10/08/2007",""
"8469","Legislation","9585","Passed/Approved","Approved","","13/01/2020",""
"8468","Legislation","9584","Passed/Approved","Approved","","01/11/2007",""
"8463","Legislation","9582","Passed/Approved","Passed","","01/01/2009",""
"8462","Legislation","9581","Passed/Approved","Approved","","02/06/2010",""
"8461","Legislation","9580","Passed/Approved","Approved","","01/08/2012",""
"8460","Legislation","9579","Passed/Approved","Approved","","01/01/2014",""
"8459","Legislation","9578","Passed/Approved","Approved","","01/01/2009",""
"8458","Legislation","9576","Passed/Approved","Approved","","01/01/2008",""
"8457","Legislation","9575","Passed/Approved","Approved","","01/08/2017",""
"8456","Legislation","9574","Passed/Approved","Passed","","01/01/2002",""
"8455","Legislation","9573","Passed/Approved","Approved","","24/12/2015",""
"8452","Legislation","9570","Passed/Approved","Approved","","01/03/2013",""
"8451","Legislation","9569","Passed/Approved","Approved","","01/01/2013",""
"8450","Legislation","9568","Passed/Approved","Approved","","01/08/2015",""
"8449","Legislation","9567","Passed/Approved","Approved","","01/03/2014",""
"8448","Legislation","9566","Passed/Approved","Approved","","01/04/2014",""
"8447","Legislation","9565","Passed/Approved","Approved","","01/01/2015",""
"8446","Legislation","9564","Passed/Approved","Approved","","01/07/2014",""
"8445","Legislation","9563","Passed/Approved","Approved","","01/01/2014",""
"8444","Legislation","9562","Passed/Approved","Approved","","01/01/2016",""
"8443","Legislation","9561","Passed/Approved","Approved","","01/01/2020",""
"8442","Legislation","9560","Passed/Approved","Approved","","01/01/2015",""
"8441","Legislation","9559","Passed/Approved","Approved","","01/06/2016",""
"8440","Legislation","9558","Passed/Approved","Approved","","01/01/2014",""
"8439","Legislation","9557","Passed/Approved","Approved","","01/05/2014",""
"8438","Legislation","9556","Passed/Approved","Approved","","01/01/2015",""
"8437","Legislation","9555","Passed/Approved","Published","","01/11/2017",""
"8436","Legislation","9553","Passed/Approved","Published","","25/12/2019",""
"8435","Legislation","9554","Passed/Approved","Approved","","01/01/2013",""
"8434","Legislation","9552","Passed/Approved","Approved","","01/01/2004",""
"8433","Legislation","9550","Passed/Approved","Published","","11/08/2018",""
"8432","Legislation","9551","Passed/Approved","Published","","01/12/2016",""
"8431","Legislation","9549","Passed/Approved","Published","","25/12/2010",""
"8430","Legislation","9548","Passed/Approved","Approved","","01/03/2016",""
"8428","Legislation","9546","Passed/Approved","Approved","","01/05/2010",""
"8427","Legislation","9545","Passed/Approved","Passed","","30/03/2012",""
"8426","Legislation","9545","Amended","Amended","","19/12/2017",""
"8425","Legislation","9544","Passed/Approved","Passed","","09/06/2017",""
"8424","Legislation","9543","Passed/Approved","passed","","25/12/2018",""
"8423","Legislation","9543","Entered Into Force","Entry into force","","01/01/2019",""
"8422","Legislation","9543","Amended","Amended","","31/05/2020",""
"8421","Legislation","9542","Passed/Approved","Passed","","25/12/2018",""
"8420","Legislation","9542","Amended","Amended","","01/07/2019",""
"8419","Legislation","2065","Amended","Amended","","25/10/2013",""
"8418","Legislation","9541","Amended","Amended","","01/01/2020",""
"8417","Legislation","9541","Passed/Approved","Passed","","04/04/2018",""
"8416","Legislation","9540","Amended","Amended","","01/01/2019",""
"8415","Legislation","9540","Passed/Approved","Passed","","29/11/2018",""
"8414","Legislation","2063","Amended","Amended","","30/11/2018",""
"8413","Legislation","2064","Amended","Amended","","16/11/2018",""
"8412","Legislation","9539","Amended","Amended","","16/11/2018",""
"8411","Legislation","9539","Passed/Approved","Passed","","25/12/2015",""
"8410","Legislation","2062","Amended","Amended","","16/11/2018",""
"8409","Legislation","9538","Passed/Approved","Programme instituted","","25/12/2004",""
"8408","Legislation","9537","Passed/Approved","Plan released","","15/06/2020",""
"8407","Legislation","9536","Passed/Approved","Published","","23/07/2020",""
"8405","Legislation","9535","Passed/Approved","Approved","","01/09/1995",""
"8404","Legislation","9534","Passed/Approved","Approved","","01/07/2017",""
"8403","Legislation","9533","Passed/Approved","Approved","","08/04/2013",""
"8402","Legislation","9532","Passed/Approved","Approved","","01/01/2020",""
"8401","Legislation","9531","Passed/Approved","Approved","","01/03/2015",""
"8400","Legislation","9530","Passed/Approved","Approved","","27/03/2017",""
"8399","Legislation","9529","Passed/Approved","Approved","","01/06/2014",""
"8398","Legislation","1409","Implementation Details","Entry into force of 2020 amendment","","01/04/2022",""
"8397","Legislation","1409","Amended","Amendment promulgated","","12/06/2020",""
"8396","Legislation","9528","Passed/Approved","Approved","","01/01/2017",""
"8395","Legislation","9527","Passed/Approved","Approved","","01/01/2015",""
"8394","Legislation","9526","Passed/Approved","Approved","","01/01/2014",""
"8310","Legislation","9524","Passed/Approved","Published","","25/12/2016",""
"8309","Legislation","9523","Passed/Approved","Approved","","01/08/2020",""
"8308","Legislation","9522","Entered Into Force","Entry into force","","01/01/2020",""
"8307","Legislation","9522","Passed/Approved","Approved","","19/09/2019",""
"8305","Legislation","8605","Amended","Amended","","28/07/2020",""
"8304","Legislation","9521","Passed/Approved","Promulgated","","31/07/2020",""
"8303","Legislation","8587","Passed/Approved","Law passed","","11/04/2018",""
"8302","Legislation","1582","Amended","Law amended ","Amended by Law no. 155","27/07/2020",""
"8301","Legislation","9520","Amended","Amended","Amended by Regulation (EU) 2020/852","18/06/2020",""
"8300","Legislation","9520","Passed/Approved","Published","","27/11/2019",""
"8299","Legislation","9519","Passed/Approved","Published","","18/06/2020",""
"8298","Legislation","9518","Passed/Approved","Approved","","16/01/2020",""
"8297","Legislation","9517","Passed/Approved","Approved","","20/01/2020",""
"8296","Legislation","9516","Passed/Approved","Approved","","27/02/2020",""
"8295","Legislation","9515","Passed/Approved","Approved","","01/12/2019",""
"8294","Legislation","9514","Passed/Approved","Approved","","01/04/2020",""
"8293","Legislation","9513","Passed/Approved","Approved","","01/12/2019",""
"8292","Legislation","9512","Passed/Approved","Approved","","25/12/2019",""
"8291","Legislation","9511","Passed/Approved","Approved","","01/11/2019",""
"8290","Legislation","9510","Passed/Approved","Approved","","01/12/2019",""
"8289","Legislation","9509","Passed/Approved","Approved","","25/12/2019",""
"8288","Legislation","9508","Passed/Approved","Approved","","25/12/2019",""
"8287","Legislation","9507","Passed/Approved","Approved","","01/01/2020",""
"8286","Legislation","9506","Passed/Approved","Approved","","01/12/2019",""
"8285","Legislation","9505","Passed/Approved","Approved","","25/12/2019",""
"8284","Legislation","9504","Passed/Approved","Approved","","01/12/2019",""
"8283","Legislation","9503","Passed/Approved","Approved","","25/12/2019",""
"8282","Legislation","9502","Passed/Approved","Approved","","01/03/2020",""
"8281","Legislation","9501","Passed/Approved","Approved","","20/12/2019",""
"8280","Legislation","9500","Passed/Approved","Approved","","19/12/2019",""
"8279","Legislation","9499","Passed/Approved","Published","","01/12/2019",""
"8278","Legislation","9498","Passed/Approved","Adopted","","01/11/2019",""
"8277","Legislation","9497","Passed/Approved","approved","","01/01/2020",""
"8276","Legislation","9496","Passed/Approved","Released","","24/12/2019",""
"8275","Legislation","9495","Passed/Approved","Approved","","24/12/2019",""
"8274","Legislation","9494","Passed/Approved","approved","","18/12/2019",""
"8273","Legislation","9493","Passed/Approved","Released","","18/12/2019",""
"8272","Legislation","9492","Passed/Approved","Document published","","11/12/2018",""
"8271","Legislation","9462","Passed/Approved","Document approved","","30/07/2020",""
"8270","Legislation","9213","Amended","Law amended","Amended by law 3658","21/07/2020",""
"8267","Legislation","9491","Passed/Approved","Strategy released","","08/07/2020",""
"8266","Legislation","9489","Passed/Approved","passed","","01/07/2016",""
"8265","Legislation","9436","Passed/Approved","passed","","12/05/2020",""
"8264","Legislation","9490","Passed/Approved","Plan released","","08/07/2020",""
"8262","Legislation","9489","Amended","Budget allocated","Further budget allocated to CAMPA","12/05/2020",""
"8261","Legislation","9489","Entered Into Force","Entry into force","","30/09/2018",""
"8260","Legislation","9488","Passed/Approved","Plan approved","","25/06/2020",""
"8259","Legislation","9483","Passed/Approved","Entry into force","","01/07/2020",""
"8258","Legislation","9487","Passed/Approved","Document released","","28/07/2020",""
"8257","Legislation","9486","Passed/Approved","Decree published","","07/07/2020",""
"8256","Legislation","9485","Passed/Approved","Plan approved","","12/07/2019",""
"8252","Legislation","9484","Passed/Approved","Document adopted","","24/02/2020",""
"8251","Legislation","8167","Passed/Approved","Document passed","","01/07/2010",""
"8250","Legislation","8167","Amended","Amended","","01/11/2016",""
"8249","Legislation","4950","Amended","PRISM created","","22/07/2020",""
"8245","Legislation","9454","Passed/Approved","Document released","","01/08/2019",""
"8244","Legislation","9482","Passed/Approved","Document officially released","","08/07/2020",""
"8234","Legislation","9440","Passed/Approved","Decree issued","","15/05/2020",""
"8233","Legislation","4791","Amended","Last amended","","01/11/2018",""
"8232","Legislation","9443","Passed/Approved","Plan announced","","27/05/2020",""
"8231","Legislation","9444","Passed/Approved","Document released","","01/10/2016",""
"8230","Legislation","9481","Passed/Approved","Decree published","","28/11/2019",""
"8229","Legislation","8794","Amended","Amended","Amended by Decree 10.143","28/11/2019",""
"8228","Legislation","9480","Passed/Approved","Decree published","","28/11/2019",""
"8227","Legislation","9479","Passed/Approved","Decree published","","28/11/2019",""
"8226","Legislation","9478","Amended","Last amended","amended by Article 327 of the Ordinance of June 19, 2020 (Federal Law Gazette I p. 1328)","19/06/2020",""
"8225","Legislation","9478","Passed/Approved","Law passed","","05/06/2015",""
"8224","Legislation","9477","Passed/Approved","Decree passed","","18/11/2015",""
"8223","Legislation","9476","Passed/Approved","Document published","","06/04/2020",""
"8222","Legislation","9475","Passed/Approved","Policy published","","14/03/2014",""
"8221","Legislation","9474","Passed/Approved","Decree passed","","21/04/2020",""
"8220","Legislation","9384","Amended","New version adopted","","21/04/2020",""
"8219","Legislation","9472","Entered Into Force","Decree published","","07/05/2020",""
"8218","Legislation","8277","Amended","Document amended","","06/04/2020",""
"8216","Legislation","9471","Passed/Approved","Programme launched","","03/09/2018",""
"8213","Legislation","9470","Amended","Last amended","","05/02/2020",""
"8212","Legislation","9470","Entered Into Force","Decree passed","","01/08/2008",""
"8209","Legislation","9469","Passed/Approved","Law passed","Approved by both chambers of Parliament","03/07/2020",""
"8208","Legislation","8774","Amended","Law amended","","03/07/2020",""
"8207","Legislation","9468","Passed/Approved","Decree passed","","23/07/2020",""
"8206","Legislation","9467","Passed/Approved","Law passed","","29/08/2016",""
"8205","Legislation","9466","Passed/Approved","Decree published","","28/07/2020",""
"8204","Legislation","9465","Passed/Approved","Programme approved","","20/07/2016",""
"8203","Legislation","9464","Passed/Approved","Law passed","","28/12/2015",""
"8202","Legislation","1781","Amended","Law amended","","14/05/2020",""
"8201","Legislation","9463","Passed/Approved","Plan released","","26/05/2020",""
"8200","Legislation","1657","Amended","Amendments to enter into force","","01/10/2020",""
"8198","Legislation","1513","Amended","Amended by the Emissions Trading Reform Bill","","22/06/2020",""
"8197","Legislation","9461","Passed/Approved","decree passed","","15/09/2019",""
"8196","Legislation","8585","Amended","Law amended","Amended by law 21.210","24/02/2020",""
"8192","Legislation","9460","Passed/Approved","Strategy published","","21/04/2017",""
"8189","Legislation","8618","Amended","New strategy released","","07/02/2020",""
"8188","Legislation","9459","Passed/Approved","Convention set up","","02/07/2019",""
"8187","Legislation","9459","Passed/Approved","Report issued","","21/06/2020",""
"8180","Legislation","9458","Passed/Approved","Plan approved","Plan approved by Parliament","04/06/2020",""
"8178","Legislation","9457","Passed/Approved","Law passed","","03/06/2020",""
"8172","Legislation","9456","Passed/Approved","Presented to parliament","","28/06/2019",""
"8171","Legislation","9455","Passed/Approved","Strategy released","","06/04/2020",""
"8170","Legislation","9452","Passed/Approved","Packaged released","","03/06/2020",""
"8169","Legislation","9453","Passed/Approved","Strategy approved","","25/12/2019",""
"8168","Legislation","9451","Passed/Approved","Strategy adopted","","10/06/2020",""
"8167","Legislation","9450","Amended","Regulation amended","","28/05/2020",""
"8166","Legislation","9450","Passed/Approved","Regulation published","","24/06/2016",""
"8165","Legislation","9449","Passed/Approved","Plan approved","","06/11/2017",""
"8164","Legislation","1042","Amended","Amended","","25/12/2015",""
"8163","Legislation","1042","Amended","Amended","","25/12/2013",""
"8162","Legislation","9448","Amended","Last amended","","27/11/2002",""
"8161","Legislation","9448","Passed/Approved","Law passed","","25/12/1972",""
"8160","Legislation","9447","Passed/Approved","Policy issued","","01/05/2015",""
"8159","Legislation","9446","Amended","Regulation issued","","01/05/2020",""
"8158","Legislation","9446","Implementation Details","Regulations implemented","","21/08/2019",""
"8157","Legislation","9446","Passed/Approved","Law passed","","14/12/2018",""
"8120","Legislation","9438","Passed/Approved","Promulgation","","07/12/2018",""
"8119","Legislation","9438","Entered Into Force","Entry into force","","01/04/2019",""
"8115","Legislation","9439","Passed/Approved","Law published","","05/05/2020",""
"8114","Legislation","1582","Amended","Law amended","Amended by Government Emergency Ordinance no. 74/2020","19/05/2020",""
"8113","Legislation","1033","Implementation Details","Law detailed by ministerial direction","
Clean Energy Finance Corporation Investment Mandate Direction 2020","01/05/2020",""
"8112","Legislation","8713","Amended","Law amended","","13/04/2020",""
"8111","Legislation","9437","Passed/Approved","Law passed","","31/05/2017",""
"8110","Legislation","8799","Amended","Last amended","Amended to include disease prevention","29/05/2020",""
"8109","Legislation","9436","Entered Into Force","Entry into force","","19/05/2020",""
"8081","Legislation","9435","Passed/Approved","Resolution approved","","01/07/2019",""
"8080","Legislation","9406","Amended","Amendment","","01/08/2016",""
"8055","Legislation","1754","Amended","Entry into force of Feed-in Tariffs (Amendment) (Coronavirus) Order 2020","","31/03/2020",""
"8054","Legislation","1209","Amended","New rules enter into force","","01/01/2020",""
"8053","Legislation","9434","Passed/Approved","Policy approved","","01/06/2017",""
"8052","Legislation","9433","Passed/Approved","Document Approved","","09/07/2018",""
"8051","Legislation","9432","Passed/Approved","Law Passed","","28/12/2018",""
"8046","Legislation","9431","Passed/Approved","Law passed","","23/12/2018",""
"8020","Legislation","8588","Amended","Last amended","","03/12/2019",""
"8018","Legislation","1723","Amended","Amended by law 7226","","26/04/2020",""
"8017","Legislation","9429","Passed/Approved","Law adopted","","12/12/2019",""
"8016","Legislation","9428","Passed/Approved","Law Passed","","13/08/2018",""
"8015","Legislation","9427","Passed/Approved","Plan adopted","","01/09/2013",""
"8014","Legislation","9426","Passed/Approved","Document released","","05/12/2019",""
"8013","Legislation","9425","Passed/Approved","Approved","","01/06/2012",""
"8012","Legislation","9424","Passed/Approved","Approved","","01/06/2018",""
"8011","Legislation","9423","Passed/Approved","Decree passed","","24/03/2016",""
"8010","Legislation","9422","Passed/Approved","Approved","","13/04/2010",""
"8009","Legislation","9421","Passed/Approved","Approved","","01/04/2015",""
"8008","Legislation","9420","Passed/Approved","Approved","","16/02/2007",""
"8007","Legislation","9419","Passed/Approved","Plan adopted","","01/04/2018",""
"8006","Legislation","9418","Passed/Approved","Plan adopted","","02/06/2015",""
